block_size,insertion,selection
82300,0.0005201,6.88671
82400,0.0156257,6.91371
82500,0.0081863,6.9357
82600,0.0156447,6.9307
82700,0.0156259,6.96175
82800,0.0080016,6.97498
82900,0.0080002,6.9874
83000,0.0080018,7.00814
83100,0.0070015,7.02417
83200,0,7.04097
83300,0.0156263,7.06315
83400,0,7.0822
83500,0,7.10329
83600,0.0156311,7.11107
83700,0.0089859,7.11907
83800,0,7.15526
83900,0,7.16403
84000,0.0140038,7.18122
84100,0.0158176,7.19983
84200,0.0115205,7.19768
84300,0.0156462,7.23455
84400,0,7.25504
84500,0,7.27367
84600,0,7.29166
84700,0,7.2955
84800,0.0140193,7.31474
84900,0,7.34088
85000,0,7.35482
85100,0.0156253,7.36549
85200,0,7.38686
85300,0.014019,7.40171
85400,0.015626,7.41799
85500,0.0140048,7.44433
85600,0,7.46853
85700,0.0087537,7.46554
85800,0,7.50231
85900,0,7.50768
86000,0.0178979,7.53091
86100,0.0080018,7.53464
86200,0.0156266,7.55973
86300,0.0011852,7.5689
86400,0.0156266,7.5838
86500,0.0156259,7.61278
86600,0,7.62525
86700,0.015626,7.6668
86800,0,7.68165
86900,0,7.67837
87000,0.0156263,7.70069
87100,0,7.72908
87200,0.0070019,7.73371
87300,0,7.75641
87400,0,7.77724
87500,0.0218672,7.76922
87600,0.0156262,7.80236
87700,0.0156224,7.81898
87800,0.0155903,7.84875
87900,0,7.87262
88000,0.0090019,7.88196
88100,0,7.90041
88200,0.0140202,7.9142
88300,0.0156264,7.93136
88400,0,7.94796
88500,0.0156262,7.96235
88600,0,7.99382
88700,0.0156263,8.04142
88800,0.0091976,8.04027
88900,0.0080017,8.03324
89000,0.0156264,8.07
89100,0.0083337,8.08355
89200,0,8.12015
89300,0.015626,8.1266
89400,0.0125277,8.23863
89500,0.0086847,8.16087
89600,0.0156264,8.16988
89700,0,8.18705
89800,0.0156275,8.20528
89900,0,8.22985
90000,0.0156259,8.24364
90100,0.0090018,8.24698
90200,0.0156266,8.25768
90300,0.0156266,8.29619
90400,0,8.31546
90500,0.0156262,8.33232
90600,0.009002,8.35563
90700,0.0084593,8.42622
90800,0.0156264,8.40175
90900,0.0125207,8.4196
91000,0.0092549,8.4188
91100,0.0174708,8.44218
91200,0.0156262,8.46262
91300,0.0156261,8.47614
91400,0,8.50925
91500,0,8.53018
91600,0,8.53861
91700,0.0156264,8.55374
91800,0,8.57327
91900,0.0156254,8.58501
92000,0.0156259,8.6144
92100,0.0090023,8.62525
92200,0.0156261,8.66477
92300,0,8.67521
92400,0.0055443,8.69153
92500,0.0156256,8.73949
92600,0.015626,8.72745
92700,0.008807,8.74826
92800,0,8.7643
92900,0.0156264,8.78299
93000,0.0156256,8.80081
93100,0.0093075,8.81648
93200,0.00183,8.8338
93300,0.0156265,8.85517
93400,0,8.93444
93500,0.0100027,8.90509
93600,0.0090021,8.91536
93700,0,8.9391
93800,0,8.94318
93900,0.0156261,8.96141
94000,0.0156262,8.97854
94100,0,9.02193
94200,0.0156268,9.02592
94300,0,9.05214
94400,0.0156263,9.06962
94500,0.0091002,9.07955
94600,0.0175203,9.09877
94700,0.015626,9.11926
94800,0,9.147
94900,0.0090034,9.16039
95000,0.015626,9.18001
95100,0.0174992,9.20461
95200,0,9.21881
95300,0.0156267,9.23607
95400,0,9.26859
95500,0,9.29613
95600,0.0156267,9.29576
95700,0.0156273,9.30392
95800,0.015626,9.32142
95900,0.0156327,9.35022
96000,0.0156257,9.3703
96100,0,9.38709
96200,0.0156261,9.4134
96300,0.0156264,9.43186
96400,0,9.45309
96500,0.0212366,9.47382
96600,0,9.50623
96700,0.015626,9.50799
96800,0,9.55284
96900,0,9.55916
97000,0.0156263,9.56949
97100,0.0156304,9.59377
97200,0.0096816,9.59695
97300,0.0156256,9.61957
97400,0.0175986,9.63436
97500,0.015626,9.67216
97600,0,9.7081
97700,0,9.72683
97800,0.0046198,9.72623
97900,0,9.75803
98000,0.0080017,9.75926
98100,0.0156256,9.78323
98200,0,9.81569
98300,0.0156255,9.82553
98400,0,9.84275
98500,0.0156255,9.86344
98600,0.0156267,9.9022
98700,0.0156259,9.91469
98800,0.0239727,9.92054
98900,0.0156263,9.94696
99000,0.0156274,9.9603
99100,0.0156261,9.97796
99200,0.0156263,10.0009
99300,0.0140183,10.0263
99400,0.0005186,10.0661
99500,0.0086751,10.0734
99600,0,10.1147
99700,0.0106836,10.1012
99800,0.0156268,10.1344
99900,0,10.1532
100000,0.0156269,10.1727
